Host,Port,UID,Status,RTT_ms,ResponseHex,Note
127.0.0.30,5020,11,Error,,,conn_refused
127.0.0.27,5020,11,Error,,,conn_refused
127.0.0.29,5020,11,Error,,,conn_refused
127.0.0.23,5020,11,Error,,,conn_refused
127.0.0.21,5020,12,Error,,,conn_refused
127.0.0.22,5020,12,Error,,,conn_refused
127.0.0.24,5020,12,Error,,,conn_refused
127.0.0.28,5020,12,Error,,,conn_refused
127.0.0.27,5020,12,Error,,,conn_refused
127.0.0.30,5020,12,Error,,,conn_refused
127.0.0.23,5020,12,Error,,,conn_refused
127.0.0.25,5020,12,Error,,,conn_refused
127.0.0.26,5020,12,Error,,,conn_refused
127.0.0.29,5020,12,Error,,,conn_refused
127.0.0.21,5020,13,Error,,,conn_refused
127.0.0.22,5020,13,Error,,,conn_refused
127.0.0.23,5020,13,Error,,,conn_refused
127.0.0.24,5020,13,Error,,,conn_refused
127.0.0.30,5020,13,Error,,,conn_refused
127.0.0.25,5020,13,Error,,,conn_refused
127.0.0.26,5020,13,Error,,,conn_refused
127.0.0.28,5020,13,Error,,,conn_refused
127.0.0.27,5020,13,Error,,,conn_refused
127.0.0.29,5020,13,Error,,,conn_refused
127.0.0.21,5020,14,Error,,,conn_refused
127.0.0.22,5020,14,Error,,,conn_refused
127.0.0.25,5020,14,Error,,,conn_refused
127.0.0.23,5020,14,Error,,,conn_refused
127.0.0.24,5020,14,Error,,,conn_refused
127.0.0.26,5020,14,Error,,,conn_refused
127.0.0.30,5020,14,Error,,,conn_refused
127.0.0.27,5020,14,Error,,,conn_refused
127.0.0.28,5020,14,Error,,,conn_refused
127.0.0.29,5020,14,Error,,,conn_refused
127.0.0.21,5020,15,Error,,,conn_refused
127.0.0.22,5020,15,Error,,,conn_refused
127.0.0.24,5020,15,Error,,,conn_refused
127.0.0.26,5020,15,Error,,,conn_refused
127.0.0.27,5020,15,Error,,,conn_refused
127.0.0.23,5020,15,Error,,,conn_refused
127.0.0.28,5020,15,Error,,,conn_refused
127.0.0.30,5020,15,Error,,,conn_refused
127.0.0.25,5020,15,Error,,,conn_refused
127.0.0.29,5020,15,Error,,,conn_refused
127.0.0.21,5020,16,Error,,,conn_refused
127.0.0.22,5020,16,Error,,,conn_refused
127.0.0.24,5020,16,Error,,,conn_refused
127.0.0.28,5020,16,Error,,,conn_refused
127.0.0.26,5020,16,Error,,,conn_refused
127.0.0.27,5020,16,Error,,,conn_refused
127.0.0.30,5020,16,Error,,,conn_refused
127.0.0.23,5020,16,Error,,,conn_refused
127.0.0.25,5020,16,Error,,,conn_refused
127.0.0.29,5020,16,Error,,,conn_refused
